US;Coors Brewing Company ;
US;Dark Horse Brewing ;
US;Flying Dog ;
US;Founders ;
US;Founders Brewing ;
US;Goose Island Beer Company ;
US;Great Divide Brewing ;
US;Green Flash Brewing ;
US;Hoppin' Frog ;
US;Jolly Pumpkin Artisan Ales ;
US;Left Coast ;
US;Left Hand Brewing ;
US;Lost Abbey ;
US;North Coast Brewing ;
US;Oskar Blues Grill & Brew ;
US;Port Brewing ;
US;Pretty Things Beer & Ale Project ;
US;Rogue Ales ;
US;Shipyard Brewing ;
US;Shorts Brewing ;
US;Sierra Nevada ;
US;SKA Brewing ;
US;Smuttynose Brewing ;
US;Southern Tier Brewing  Company;
US;Stone Brewing ;
US;The Bruery ;
US;The Duck Rabbit Craft Brewery ;
US;Uncommon Brewers ;
US;Weyerbacher Brewing ;
VN;Sabeco ;
AT;Brauerei Gusswerk ;
FR;Du Monde;
GB;Marston's Beer Company;
US;Samuel Adams;
NO;Breiflabben Brygghus;
NO;Gjerberg bryggeri;
NO;Klostergården Håndbryggeri;
NO;Små Vesen Bryggeri;
